1,9870,25491
1,442,97978
1,6896,34460
1,2904,59825
1,8671,14240
1,1874,42284
1,3844,26926
1,9502,309
1,959,56256
1,7948,39650
2,6321,44435
2,3341,60587
2,4354,13158
2,7900,67826
2,2223,59051
2,657,2118
2,1875,95545
2,5861,61585
2,3383,20968
2,7559,37034
3,9656,40616
3,5593,22411
3,9953,74307
3,384,79940
3,9229,82915
3,5422,29322
3,4604,41304
3,4008,95632
3,337,41431
3,8905,34359
4,2917,140
4,6225,61437
4,4800,69813
4,6896,47402
4,8954,56701
4,2613,98126
4,7197,68109
4,3408,89348
4,7916,63841
4,5106,61751
5,9597,34230
5,363,20073
5,4616,73020
5,9473,30231
5,446,41261
5,5712,28213
5,6442,12684
5,174,63167
5,3960,62747
5,2954,3458
6,1177,75360
6,2565,61105
6,5365,32284
6,7127,98891
6,8332,61126
6,9475,1358
6,1382,15984
6,4952,30823
6,220,69014
6,6942,81479
7,9047,96835
7,6105,56671
7,98,49830
7,8767,58634
7,7118,18475
7,2671,17587
7,4409,34000
7,3106,33356
7,3316,12600
7,1670,31880
8,9121,26273
8,3641,89557
8,19,38967
8,9672,77718
8,6492,15438
8,9446,69156
8,3546,99894
8,1240,9143
8,568,81713
8,4301,29338
9,9804,52187
9,7296,8149
9,8752,97043
9,504,3197
9,7939,28580
9,5098,87368
9,7454,4270
9,8524,60385
9,5754,98058
9,3816,22863
10,4789,29992
10,2307,43417
10,7424,39850
10,855,14589
10,9162,32893
10,4483,37402
10,1098,79412
10,2635,43276
10,3726,14430
10,7658,16203
11,9792,36368
11,1026,16803
11,1211,21980
11,1042,96441
11,7921,64193
11,1789,76572
11,8344,55897
11,603,22246
11,177,19290
11,5698,64960
12,305,51416
12,5718,98273
12,7519,83181
12,1426,38623
12,8012,43913
12,5592,86289
12,9550,75686
12,3875,49224
12,7226,41784
12,7984,81485
13,1364,39233
13,4071,3131
13,7959,25014
13,7703,88675
13,3689,44872
13,7018,54658
13,2942,59533
13,9470,25699
13,6180,69087
13,4497,83646
14,4305,67490
14,1527,91569
14,6229,17171
14,5416,57479
14,8350,21857
14,7466,50285
14,9229,23709
14,1971,80082
14,8541,40091
14,4690,97770
15,5020,43616
15,3766,86004
15,4979,36049
15,2844,98972
15,7747,58231
15,3133,46389
15,9537,51977
15,2689,4969
15,7936,60112
15,4541,15452
16,7001,33099
16,349,85747
16,7903,47468
16,8534,61013
16,6118,26162
16,1558,43381
16,6324,54576
16,6863,90723
16,48,80312
16,1735,2427
17,7458,68058
17,37,6785
17,616,3728
17,5993,9612
17,2880,30567
17,8736,96308
17,8533,82688
17,8834,13298
17,7435,13207
17,3055,91877
18,4214,1080
18,8004,34663
18,979,45915
18,478,17456
18,7705,7852
18,8393,87214
18,6556,31090
18,399,68479
18,5327,67485
18,4062,48969
19,3221,29884
19,7881,61758
19,595,94289
19,4512,42541
19,5484,2894
19,1229,30814
19,1993,15194
19,6681,32351
19,6452,7359
19,1069,35269
20,6446,27651
20,1765,5338
20,1779,1541
20,3155,99160
20,8955,19377
20,7028,61774
20,9876,83600
20,342,92328
20,1711,94898
20,4202,6175
21,5363,97086
21,9418,21494
21,1767,10167
21,6363,94814
21,4169,68049
21,2936,3193
21,9174,51055
21,2147,65958
21,4256,99829
21,961,49415
22,6067,4057
22,461,51703
22,9059,40738
22,1804,8658
22,6938,58323
22,4940,46178
22,9011,57132
22,3855,69980
22,7476,46931
22,7052,83867
23,5533,89781
23,2243,55771
23,2361,82335
23,8512,63953
23,8373,44978
23,1649,93
23,7721,65979
23,9384,41823
23,987,73494
23,5484,33806
24,2357,55311
24,7255,97260
24,2750,20271
24,5058,75096
24,3318,52783
24,5408,80349
24,4631,85638
24,6742,54626
24,7076,40877
24,9855,30758
25,8239,24905
25,7204,88187
25,3826,24815
25,7720,63800
25,9307,27311
25,5288,46574
25,6041,60316
25,6591,17574
25,8280,57613
25,6385,62323
26,2872,37629
26,1227,59469
26,8197,14008
26,4374,56041
26,4005,65020
26,9906,57462
26,4913,54606
26,4919,61233
26,1729,45015
26,5014,31882
27,3005,71347
27,755,75844
27,8247,64901
27,3927,16704
27,7757,45025
27,7602,71198
27,8257,29359
27,5625,75917
27,1268,98001
27,7766,44556
28,533,47534
28,5664,40172
28,1648,72224
28,5975,10221
28,9169,49506
28,7693,51639
28,9420,99331
28,5040,85934
28,8797,47789
28,4137,30907
29,2203,96889
29,3287,46240
29,381,78365
29,9181,8738
29,190,20249
29,7006,82578
29,828,52733
29,8697,97642
29,8687,23017
29,5994,31026
30,3037,27534
30,7408,13470
30,9350,30815
30,4179,2969
30,2772,51547
30,3645,95627
30,4808,12769
30,6244,81387
30,8837,81207
30,2288,15976
31,2016,43100
31,8926,26015
31,9271,65240
31,866,11171
31,6971,81209
31,3322,64351
31,3710,86639
31,4901,20884
31,3067,62810
31,9298,32266
32,3502,15918
32,6226,65276
32,8457,86954
32,4867,67941
32,2788,73410
32,5459,49079
32,756,4203
32,4239,55913
32,6402,20378
32,3013,36763
33,1709,59734
33,8883,64190
33,4901,98783
33,62,3532
33,9207,21813
33,1010,16736
33,3771,17786
33,7100,30275
33,6350,30899
33,6199,96047
34,1687,41403
34,1038,77076
34,9626,37482
34,1505,76120
34,8006,66214
34,7074,39553
34,3955,57869
34,4260,44799
34,7872,90607
34,7813,65021
35,3684,66234
35,5643,86300
35,5504,67789
35,5566,81365
35,8254,58557
35,2845,59666
35,7096,3609
35,6270,70509
35,735,69499
35,8948,26958
36,6417,7237
36,2354,500
36,2246,96766
36,753,56191
36,2462,27835
36,472,15478
36,1677,89198
36,4167,48324
36,6088,13567
36,7240,71183
37,9739,84597
37,5989,15082
37,4044,10660
37,7076,95145
37,1081,41214
37,2388,64916
37,5763,79680
37,4326,45346
37,3251,92861
37,7560,38140
38,2586,43819
38,5453,38892
38,636,71755
38,3446,69064
38,3467,99654
38,2827,23102
38,6046,85520
38,1550,42911
38,3472,14764
38,2690,65440
39,5088,5132
39,1939,58353
39,9517,8480
39,8000,45841
39,674,19184
39,9633,2707
39,7447,62218
39,9246,45215
39,4666,36465
39,9189,96133
40,9463,34008
40,7292,37335
40,48,73655
40,2252,63636
40,4724,58209
40,1490,7777
40,3837,47834
40,5019,49224
40,313,95877
40,4207,43227
41,4878,4558
41,5764,95276
41,7810,63828
41,8026,57229
41,1222,51385
41,2033,71979
41,9581,11183
41,6275,44314
41,4039,34056
41,4137,56649
42,8625,31007
42,7802,83467
42,854,87912
42,6419,30814
42,4547,91661
